Crash Team Racing Nitro-Fueled,20,PlayStation 4,Sony,B,Kart racing,,,NULL,2020,2019,9,,Não,Sim,46
Crazy Taxi,8,PC | Steam,VALVE,B,Racing,,,NULL,2020,2011,8,,Não,Sim,47
Cuphead,50,PC | Steam,VALVE,SS,Run and gun,Depois de Anos finalizado,,NULL,2024,2017,11,,Não,Sim,48
Cyber Shadow,20,Windows 10,Microsoft,SS,Platform,,,NULL,2021,2021,8,,Não,Sim,49
Cyber-Lip,2,Neo Geo MVS,SNK,B,Run and gun,,,NULL,2023,1990,6,,Sim,Não,50
Dante's Inferno,8,Xbox 360,Microsoft,A,Hack and slash,"Finalmente Registrado na minha conta, joguei pirata",,NULL,2024,2010,9,,Não,Sim,51
Dark Souls II: Scholar Of The First Sin,70,PC | Steam,VALVE,SS,Soulslike,,,NULL,2023,2015,10,,Não,Sim,52
Dark Souls: Prepare to Die Edition,65,PC | Steam,VALVE,SS,Soulslike,,,NULL,2020,2012,11,,Não,Sim,53
Darkstalkers Chronicle: The Chaos Tower,1,PlayStation Portable,Sony,C,Fighting,Completar o Modo Arcade,,NULL,2023,2005,8,,Sim,Não,54
Darkwatch,6,PlayStation 2,Sony,B,FPS,,,NULL,2014,2002,8,,Sim,Não,55
DARQ: Complete Edition,6,PC | Steam,VALVE,A,Puzzle,,,NULL,2021,2020,8,,Não,Sim,56
Dead or Alive,1,Sega Saturn,Sega,A,Fighting,,,NULL,2023,1997,8,,Sim,Não,57
Dead or Alive 2,2,Dreamcast,Sega,C,Fighting,,,NULL,2023,2000,9,,Sim,Sim,58
Dead or Alive Dimensions,3,Nintendo 3DS,Nintendo,B,Fighting,,,NULL,2022,2011,7,,Sim,Não,59
Dead Space,21,PC | Steam,VALVE,B,Survival Horror,,,NULL,2020,2008,9,,Não,Sim,60
Dead Space 2,11,PC | Steam,VALVE,B,Survival Horror,,,NULL,2020,2011,9,,Não,Sim,61
Desert Assault | Thunder Zone,1,Arcade,MAME,C,Run and gun,,,NULL,2023,1991,7,,Sim,Não,62
Detana!! TwinBee,1,Sega Saturn,Sega,B,Shoot 'em up,,,NULL,2023,1995,7,,Sim,Não,63
Detroit: Become Human,20,PlayStation 4,Sony,C,Adventure,,,NULL,2019,2018,9,,Não,Sim,64
Devil May Cry 3: Dante's Awakening – Special Edition,20,PlayStation 2,Sony,S,Hack and slash,,,NULL,2012,2006,10,,Sim,Não,65
Dolphin Blue,1,Arcade,Sega,SS,Run and gun,,,NULL,2023,2003,8,,Sim,Sim,66
Donkey Kong Coutry Returns 3D,17,Nintendo 3DS,Nintendo,B,Platform,,,NULL,2022,2013,9,,Sim,Não,67
DonPachi,2,Sega Saturn,Sega,C,Shoot 'em up,,,NULL,2023,1995,7,,Sim,Não,68
Doom,8,Windows 10,Microsoft,A,FPS,,,NULL,2021,1993,10,,Não,Sim,69
Double Dragon,1,Arcade,MAME,A,Beat 'em up,,,NULL,2023,1987,7,,Sim,Não,70
Double Dragon 2,1,Arcade,MAME,S,Beat 'em up,,,NULL,2023,1988,8,,Sim,Não,71
Dragon Ball Z: Budokai Tenkaichi 3,40,PlayStation 2,Sony,A,Fighting,,,NULL,2012,2007,11,100%,Sim,Não,72
Dragon Ball: Advanced Adventure,4,Nintendo GameBoy Advance,Nintendo,B,Beat 'em up,Zerado Miyoo Mini+,,NULL,2024,2006,8,,Sim,Não,73
Dungeons & Dragons: Chronicles of Mystara,2,PC | Steam,VALVE,B,Beat 'em up,Um briga de rua de qulidade e bem legal,,NULL,2024,2013,8,,Não,Sim,74
Dungeons & Dragons: Tower of Doom,2,PC | Steam,VALVE,C,Beat 'em up,Um briga de rua de qulidade e bem legal,,NULL,2024,2013,7,,Não,Sim,75
Dyna Gear,1,Arcade,Sammy,C,Run and gun,Diferente e legal,,NULL,2023,1994,7,,Sim,Não,76
Eight Man,1,Neo Geo MVS,SNK,C,Beat 'em up,,,NULL,2023,1991,6,,Sim,Não,77
Elemental Master,2,Mega Drive,Sega,S,Shoot 'em up,Muito Dificil!!!! Musicas Boas e artes maravilhosas,,NULL,2024,1990,8,,Sim,Sim,78
Evergarden,12,PC | Steam,VALVE,C,Puzzle,,,NULL,2020,2018,6,,Não,Sim,79
Fez,8,PC | Steam,VALVE,B,Puzzle-platform,,,NULL,2020,2013,8,,Não,Sim,80
Final Fight,1,PC | Steam,VALVE,B,Beat 'em up,,,NULL,2022,1989,8,,Não,Sim,81
Final Fight 3,5,Super Nintendo,Nintendo,S,Beat 'em up,Matar o Ultimo Boss,Zerei no easy e não aparece a cena 1 seg mas zarei com minha irmã,NULL,2023,1995,8,,Sim,Não,82
Fire Emblem Echoes: Shadows of Valentia,90,Nintendo 3DS,Nintendo,S,Tactical RPG,,,NULL,2023,2017,10,,Sim,Não,83
Fire Emblem: Awakening,60,Nintendo 3DS,Nintendo,S,Tactical RPG,,,NULL,2022,2013,11,,Não,Não,84
Fire Emblem: Path of Radiance,35,Nintendo Game Cube,Nintendo,S,Tactical RPG,Matar o Ultimo Boss,,NULL,2023,2005,9,,Sim,Não,85
Game Dev Tycoon,19,PC | Steam,VALVE,C,Simulation,,,NULL,2021,2012,7,,Não,Sim,86
Garou: Mark of the Wolves,10,PC | Steam,VALVE,SS,Fighting,,,NULL,2022,2016,8,,Não,Sim,87
Gekirindan,1,Sega Saturn,Sega,A,Shoot 'em up,1+ Mais por conta da trilha sonora,,NULL,2023,1997,8,,Sim,Não,88
Ghost Pilots,3,Neo Geo MVS,SNK,B,Shoot 'em up,,,NULL,2023,1991,7,,Sim,Não,89
Ghost Rider,5,PlayStation Portable,Sony,C,Hack and slash,,,NULL,2023,2007,7,,Sim,Não,90
Giga Wing,1,PC | Steam,VALVE,S,Shoot 'em up,,,NULL,2023,1999,8,,Não,Sim,91
Giga Wing 2,1,Dreamcast,Sega,SS,Shoot 'em up,"Coloquei como fácil porque tem save a vontade, então é só tentar",,NULL,2023,2000,10,,Sim,Não,92
God of War,15,PlayStation 2,Sony,B,Hack and slash,,,NULL,2014,2005,8,,Sim,Não,93
God of War (2018),25,PlayStation 4,Sony,B,Hack and slash,,,NULL,2020,2018,10,,Não,Sim,94
God of War II,15,PlayStation 2,Sony,B,Hack and slash,,,NULL,2014,2007,9,,Sim,Não,95
